row_id,content-评论内容,theme-主题,sentiment_word-情感关键词,sentiment_anls-情感正负面
45,与图片效果不同，布是棉的，不是丝织品，不诱惑,,,
46,酒质很一般。。。。。也就这价格，期望过高,酒质;期望;,一般;过高;,0;-1;
47,要得要得要得,,,
48,非常，不满意，如有打算要买的，请千万不要买，是假的，一点都不上色，跟染一样，我特意等差不多快一个钟才冲洗的。总之，是一次非常失败的。,NULL;NULL;NULL;NULL;冲洗;,失败;不满意;假;差不多;快;,-1;-1;-1;0;1;
49,收到管子变形的，安装底座就破了。太差了。东西质量很差，商家一定要给好评才有终身售后。太欺负人了。很差。,商家;NULL;质量;底座;NULL;管子;,好评;太差;很差;破;很差;变形;,1;-1;-1;-1;-1;-1;
50,买回来就坏了,NULL;,坏;,-1;
51,薄没用充电时太少了,充电;NULL;,太少;薄;,-1;0;
52,跟我实体店买的爹地宝贝完全质量不一样，感觉质量好差感觉特别假！摸着手感完全不同！,NULL;质量;感觉;,差;好;假;,-1;1;-1;
53,给朋友买的，她说还不错，毕竟是上交手机，。。，[追评],NULL;,不错;,1;
54,第一电视根本没那么多应用，骗人的，    第二网络电视非常不稳定，      第三优酷会员压根登入不了，然后就是要会员的电影看不了。         我这是收货第一天才用不到6个小时，客服就已经翻脸不认人了，没买之前服务的很好   买了之后就不关他的事了，   要购买的亲们谨慎！！！！        </br>第一张图是购买前</br>第二张图是购买后                           我第一次在京东买东西，就让我碰上了这样的服务，    难怪京东没有淘..，宝的名气大，原来是这样的垃圾服务。,服务;服务;网络电视;购买;,垃圾;很好;不稳;谨慎;,-1;1;-1;0;
55,感觉还可以,感觉;,还可以;,1;
56,差的原因是没看到赠品，卖家如果没有就不要写上做虚假宣传,赠品;卖家;,差;虚假;,-1;-1;
57,试用过了，很满意，外观设计很漂亮，人操作起来很方便的，价格也实惠，挺满意的！,操作;价格;NULL;设计;,方便;实惠;满意;漂亮;,1;1;1;1;
58,(⊙o⊙)哇，上手感觉非常棒！,感觉;,棒;,1;
59,味道比较难闻，而且油性皮肤，敏感皮肤最好别用，没什么效果,味道;皮肤;,难闻;别最好;,-1;-1;
60,发货真的好快 味道是很熟悉的那种 但是不算高档不算亲和的味道 滋润不错 持香也不错,发货;NULL;NULL;NULL;味道;NULL;,快;滋润;不算高档;不错;不算亲和;香;,1;1;-1;1;-1;1;
61,满意，一直在用此产品，无刺激,NULL;,满意;,1;
62,东西不好不好不好,东西;,不不好;,1;
63,不错，是我想要的，快递小哥服务一级的棒，,NULL;服务;,不错;棒;,1;1;
64,不错 挺好的,NULL;NULL;,不错;挺好;,1;1;
65,不是想要的颜色。。。。。,,,
66,刷毛太稀疏了,刷毛;,太稀;,-1;
67,刚开始一个星期还可以   之后就有划痕 水挂不干净,NULL;NULL;NULL;,不干净;还可以;有划痕;,-1;1;-1;
68,根本没有包装，也没用保鲜膜泡沫什么的包一下，箱子里面都是沐浴露,,,
69,是我见过声音最大的，音质最好的手机。其他的手机我觉得声音真的太小声了。 比我原来的1200万像素的手机拍出来的效果感觉要清晰很多。 非常流畅不卡顿,NULL;感觉;NULL;NULL;音质;,流畅;清晰;很多;不卡顿;最好;,1;1;1;1;1;
70,等了漫长的一个多个星期 等到了的时候发现只用一块瓦楞板裹着连块泡泡纸都没有 粉已经碎的不能再碎 到处都是 感觉不会再爱了 沾了点碎粉 粉很好用 但是碎成这个样子 也是不知道说什么好了,NULL;NULL;NULL;NULL;,不能碎;很好;碎;好;,1;1;-1;1;
71,底脚不稳     一看都不是新的,NULL;底脚;,不是新;不稳;,-1;-1;
72,质量不是所描述得那么好,描述;,好;,1;
73,给朋友买的，感觉不错.支持国产,感觉;,不错;,1;
74,是正品 反应速度快 物流慢了点,NULL;物流;,正品;慢;,1;-1;
75,给男朋友买的，用着还可以，没有锡纸封口，不满意，包装没有以前的那种塑料泡泡的填充，不满意，成分和另外一个洗面奶相比较只有一个好像叫牛油果的不一样，早知道就不用挑来挑去的，感觉就味道不一样似的,NULL;用着;,不满意;还可以;,-1;1;
76,死机n次也是醉了,NULL;,次;,-1;
77,包装不是很讲究，自己喝完全没问题,包装;,不是讲究;,-1;
78,太小了，比超市的贵！！！,NULL;,贵;,-1;
79,质量差,质量;,差;,-1;
80,上面写着耳温额温二合一的。都是假的。欺骗消费者,NULL;NULL;,假;欺骗;,-1;-1;
81,好的不要不要的,,,
82,圓通快递差差差,,,
83,东西好，但是发货速度慢，客服态度不好！,东西;客服态度;发货速度;,好;不好;慢;,1;-1;-1;
84,花架少一个螺丝。物流快。,物流;,快;,1;
85,我买的是卫衣三件套，发过来是裙子，怎么会这样，很不满意，不应该这样。,NULL;,不满意;,-1;
86,不怎么好用，价格便宜,NULL;,不怎么好用;,-1;
87,正品，质量好，发货速度快。,NULL;质量;发货速度;,正品;好;快;,1;1;1;
88,给超级差差差评！无良商家！垃圾！京东也有如此坑人的商家，无语！底坐里面就是用沙子倒成的，用了三天就变成这个样子&hellip;&hellip;请大家看图吧！希望可以帮到大家看清这家无良商家的劣质产品！！！,商家;京东;商家;NULL;NULL;NULL;NULL;NULL;,无良;坑人;劣质;无语;无良;可以;差评;垃圾;,-1;-1;-1;-1;-1;1;-1;-1;
89,"送货很及时,就是煮的时候,好象时间长了些,总的来说还是挺不错的东东,还是赞一个!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",总的来说;NULL;送货;时间;,不错;赞;及时;长;,1;1;1;1;
90,第一个是在东莞国药买的，老爸说用着牙齿没那么碰都不能碰，第二个在京东买的，还可以。,NULL;,还可以;,1;
91,东西与图片差距很大，发货速度慢，还缺东西导致购买的香水无法使用，出现问题不积极解决问题，还让用户为他们的工作失误买单，总之商家的态度很差，让人很窝火，强烈建议大家不要买他家商品，,问题;态度;NULL;发货速度;差距;,不积极;很差;窝火;慢;很大;,-1;-1;-1;-1;1;
92,边缘太宽，贴了之后两边都露出一截，手摸着不舒服！容易积累灰尘！！！,灰尘;摸着;,容易;不舒服;,1;-1;
93,自从有BB后，这个沐浴露的味道对我来说就像世界上最恶心的味道，闻到一点就想吐，现在不孕吐了闻着也很不舒服,味道;NULL;闻着;,恶心;想吐;不舒服;,-1;-1;-1;
94,完全是骗人的，才用一天就掉了，京东自营发的。假货,NULL;,假货;,-1;
95,还没试用不知好不好本来是299结果给我开发票只开了800其他都还可以用过在来评价,,,
96,老牌子，制冷快，三口之家很实用。,NULL;制冷;,实用;快;,1;1;
97,加价购的钢化膜贴上去四周有明显的白边，贴的时候问客服问题客服居然把说明步骤复制过来了。我是瞎子看不到盒子里印的步骤？还好后来也算回答了我的问题。贴完后用起来一般，指纹收集器也就算了，产品介绍说这款不会有白边，结果明显的一比，问客服怎么回事客服回答你没贴好。嗯这个理由真好用，也不枉我仔仔细细的清灰贴了那么久了。,钢化膜;理由;清灰贴;回答;用起来;结果;盒子;,明显;好用;久;还好;一般;明显;看不到;,0;1;0;1;0;0;-1;
98,质量也不错，下次再来光顾。。。。,质量;,不错;,1;
99,质量一般，洗涤动力一般，脱水动力强劲,洗涤动力;脱水动力;质量;,一般;强劲;一般;,0;1;0;
100,[追评]便宜无好货 同时买了两台空调 一台1.5匹电流声特别大 可这台1匹毛病特别多 风轮是断的而且里面还有很大的水流声（水流声持续不断）风力调到最小档也比那1.5匹的风大 要求换新机还不给换 售后说只能修 可到现在十几天了也没给我修,NULL;货;,便宜;无好;,1;-1;
101,看起来还可以。。。。。。。。。。,看起来;,还可以;,1;
102,1. 上面的金壳子松动 2. 黑色侧边有裂痕 3. 齿子梳狠点得话刮头发 别人推荐说这梳子用了两年怎么摔都摔不坏， 我就纳闷了，对于这个买来就有裂痕，松动的东西摔一下不得摔烂了，总之这次购买体验不好，亚马逊在搞什么,购买体验;壳子;NULL;NULL;梳子;NULL;东西;,不好;松动;裂痕;纳闷;推荐;松动;烂;,-1;-1;-1;-1;1;-1;-1;
103,老人机嘛就那样一个键盘锁都没有，这些商家，都不是好东西。,NULL;,不是好东西;,-1;
104,"味道太大了,不能接受!毛脱得不是很干净.",NULL;,不是很干;,1;
105,实物比想象中大多了,,,
106,价格要再低一点那就可以说是相当有性价比了,价格;性价比;,低;可以;,-1;1;
107,与图片不符，东西也没那么多,图片;,不符;,-1;
108,已经安装好了，画质可以，家里宾馆用，很满意的[追评],安装;画质;NULL;,好;可以;满意;,1;1;1;
109,挺好的，挺好的，挺好的，,NULL;,挺好;,1;
110,连个加热器都不带 怎么用 差差差,,,
111,质量不错，就是颜色有一点误差，其他都挺好,质量;NULL;,不错;挺好;,1;1;
112,很满意！大小合适老婆大人满意！激活半天搞不好还请个百度老师忙活个把小时各种密码设定记哪一小张纸！各种功能使用还不习惯！慢慢摸索中！京东服务就是好！放心！！,服务;大小;NULL;NULL;,好;合适;放心;满意;,1;1;1;1;
113,假的&hellip;假的&hellip;假的&hellip;,NULL;,假;,-1;
114,充不满不满不满不满不满不满不满不满不满,NULL;,不满;,-1;
115,不错，挺好，安装很及时，中午到下午就来安装了,安装;NULL;NULL;,及时;不错;挺好;,1;1;1;
116,买来放着备用，拆拆水管什么的,,,
117,(?&acute;з(&acute;&omega;`*)?世界和平,,,
118,做活动的时候买的 很划算～用起来就那样吧，很香。,NULL;NULL;,划算;很香;,1;1;
119,这么和3ML的试用装不一样？3ML的试用装明显浓一点！！！！！！！！！好怕是假货！！！！！！,NULL;NULL;NULL;,假货;明显;好;,-1;0;1;
120,送的东西，膜已经碎掉了。,膜;,碎;,-1;
121,味道跟专卖店不一样，很明显,NULL;,明显;,0;
122,快递很快，不错,NULL;快递;,不错;很快;,1;1;
123,挺好的，过段时间再来追评[追评],NULL;,挺好;,1;
124,很差。太差了。。。。,NULL;NULL;,太差;很差;,-1;-1;
125,好，不错，非常好，厚实,NULL;NULL;NULL;,不错;好;厚实;,1;1;1;
126,收到的时候后膜就是裂的，说的好好的，给补发一张后膜，十多天都看不见影子，还是帮朋友订的，联系客服还没人理，太耽误事了，不满意的一次购物,NULL;后膜;购物;NULL;,看不见;裂;不满意;好;,-1;-1;-1;1;
127,一直在用亚玛逊的产品，这次包装也太差了，买了一堆，没有一瓶是完整的,包装;NULL;,太差;没有完整;,-1;-1;
128,一天一个价，2/6/99买的，一个月降到2/4/3/8，而且现在还不给退差价了，机器是刚需，优点就是便宜，其他真的没啥优点了，室内机确实是省到家了，就是一个薄塑料壳子，安装的也一般，抽真空让多抽一会也不愿意,塑料;优点;安装;,薄;便宜;一般;,0;1;0;
129,发货很快，包装很好，最主要的是客服服务很好，以诚为本，谢谢卖家。音质不错,发货;音质;包装;客服服务;,很快;不错;很好;很好;,1;1;1;1;
130,质感很轻薄，有淡淡的酒精味，没有任何保湿感，过敏了。以前用的实体店商品，这个系列应该很补水，而且不过敏的。,NULL;NULL;质感;NULL;酒精味;,薄;不过敏;很轻;过敏;淡淡的;,0;1;1;-1;1;
131,还行吧，就是那个披肩有点不合适,NULL;披肩;,还行;不合适;,1;-1;
132,还行吧，三免一买的还是值,NULL;,还行;,1;
133,有几个功能用不上，没有说的那么好，声音小 音乐不好听，一分钱一分货，没什么好说的,音乐;NULL;功能;,不好;好;用不上;,-1;1;-1;
134,机器还行，洗衣服的声音有点大，脱水还可以。,脱水;机器;,还可以;还行;,1;1;
135,送的东西太差劲了，才用了一次，结果就生锈了，哪还敢用啊,东西;NULL;,太差;敢用;,-1;1;
136,不干净,NULL;,不干净;,-1;
137,买了两个月总共用了4次就坏了，售后电话难打通，没有比这次更糟糕的购物啦，感觉不会再爱了，提醒各位购物慎重,NULL;购物;购物;,坏;没有更糟;慎重;,-1;1;-1;
138,试用中，良心产品,产品;,良心;,1;
139,用了几天才来评价，机子没问题！奔姐生意兴隆！[追评],,,
140,不实费&hellip;&hellip;&hellip;&hellip;\&hellip;&hellip;,NULL;,费;,-1;
141,挺好的，快递很快，卖家服务态度非常好，物超所值[追评],NULL;NULL;态度;快递;,物超所值;挺好;好;很快;,1;1;1;1;
142,公司买的，一直用这个，还不错！,NULL;,不错;,1;
143,灯是亮着、可惜打开就是噪音！！！！买来好几天刚打开的方式包裹、耍我呢啊！！！！,灯;,可惜;,-1;
144,挺好的，买过很多台美菱了,美菱;NULL;,很多;挺好;,1;1;
145,外观  还好吧  价钱便宜  还是变频的  值了,NULL;价钱;,还好;便宜;,1;1;
146,洗完 头皮干干的 但不是干爽 头皮凉凉的,头皮;NULL;,凉凉的;不是干爽;,1;-1;
147,还行，和手机套餐一起购买的，就这些配件还可以，都比手机强,NULL;手机;配件;,还行;强;还可以;,1;1;1;
148,给妈妈买的！手机不错的！就是物流特别慢！[追评]没有用一段时间！是物流到的太晚！是有点慢了,手机;NULL;物流;,不错;慢;慢;,1;-1;-1;
149,产品还行，客服不行，爱理不理的！没发货说发货，叫他自己查下单号，就没音了,NULL;客服;产品;,爱理不理;不行;还行;,-1;-1;1;
150,我申请了发票的，为什么没有给我寄发票在里面,,,
151,还没使用，不知效果怎么样！,,,
152,一次买了三个，质量差距比较大，有的充电快有的充电慢，有的信号好，有的信号不好。照片拍出来不怎么样。<br/>,充电;充电;信号;信号;照片;,快;慢;好;不好;不怎么样;,1;-1;1;-1;-1;
153,给妈妈买的，冰箱已经使用一周了，很好，声音很小，面板可以显示温度，每个室可以单独调节温度，还可以单独关闭冷藏室和解冻室，空间够大，价格便宜，总之很满意 就是物流人员没给拆箱，费了好大劲,面板;总之;NULL;NULL;NULL;冷藏室;温度;声音;空间;,可以;满意;好大;很好;费;还可以;可以;很小;够大;,1;1;-1;1;-1;1;1;1;1;
154,一点用都没有，就一盏灯,,,
155,不能调方向。。。。浪费了,NULL;,浪费;,-1;
156,么有任何感觉,,,
157,一点都不好！！！,NULL;,不好;,-1;
158,一般,NULL;,一般;,0;
159,可以不给一颗心么,NULL;,不可以;,-1;
160,这是我在京东第一次买到这么垃圾的东西,京东;,垃圾;,-1;
161,发的信息的激活码格式完全不对 还是百度了仙五激活码的排列才知道五个一格，每一格都要用一个横线断开，而信息上的是四个字母一个 由空格键断开，而且下单后 等了半个多小时才发的信息，简直不能再慢。。。,格式;,不对;,-1;
162,下摆太长买，买这个就想点，早知如此就不下单了,下摆;,太长;,-1;
163,。。。。。可以吧,NULL;,可以;,1;
164,乐视手机就塌玛一垃圾，难用死，连无线网垃圾，手机网络也垃圾，卡死了，屏幕还不灵，消费者千万不要上当,屏幕;乐视手机;NULL;网络;NULL;无线网;,不灵;垃圾;卡;垃圾;难用;垃圾;,-1;-1;-1;-1;-1;-1;
165,：很好 什么都好,NULL;NULL;,很好;好;,1;1;
166,适合我这种皮肤粗糙的人使用，牛奶味，很好闻,NULL;NULL;皮肤;,适合;很好;粗糙;,1;1;-1;
167,看电视不太方便啊......,NULL;,不方便;,-1;
168,不怎么样..好像祛痘一般般，保湿效果也不怎么样，好失望的说....,NULL;NULL;NULL;祛痘;保湿效果;,不怎么样;好;失望;一般般;不怎么样;,-1;1;-1;0;-1;
169,就是有点缩水,,,
170,不知道里面是什么材质，图案很漂亮，也很实用,NULL;图案;,实用;漂亮;,1;1;
171,电视挺好的，送货也挺好的，安装也还行,送货;安装;电视;,挺好;还行;挺好;,1;1;1;
172,收到后打开，瓶嘴已经断裂，可惜当时送货员已经走了。客户说没有办法换。只有将就了。,NULL;送货员;,将就;可惜;,-1;-1;
173,产品可以 值得下次购买,购买;产品;,值得;可以;,1;1;
174,用了20天坏了,NULL;,坏;,-1;
175,挺好用的！喜欢！不错，赚积分评价的！,NULL;NULL;NULL;,不错;挺好;喜欢;,1;1;1;
176,现货 澳洲代购 dermatix 神奇祛疤痕15克去疤痕膏倍舒痕烫伤凝胶,NULL;,神奇;,1;
177,手机是给我外婆买的，回来也没注意就给老人了，结果外公打电话来说手机打电话给对方听不见！,手机;,听不见;,-1;
178,还可以，比商场实惠点,商场;NULL;,实惠;还可以;,1;1;
179,噪音太大！实在太大！非常想退货，但不知道瓶子装上去以后还能不能退？！,,,
180,没有20000但是还是不错啦  比较便宜,NULL;NULL;,便宜;没有不错;,1;-1;
181,用了几天才来评价，手机是正品。,手机;,正品;,1;
182,东西有点假，给安卓充电1.5次都不到8000，最少也要2次吧，车载还没有使用；周末检测如启动车有问题，真就产品有问题啦。失望。,产品;东西;NULL;车;,有问题;假;失望;有问题;,-1;-1;-1;-1;
183,冷藏柜收到了老板很守信用包装好发货快，样子很好看简洁大气，质量不错哦价钱便宜性价比高，满意,NULL;发货;质量;老板;包装;样子;价钱;NULL;性价比;NULL;,大气;快;不错;守信用;好;很好;便宜;简洁;高;满意;,1;1;1;1;1;1;1;1;1;1;
184,很满意 不错 给的小配件也好 下次还来购买[追评],配件;NULL;NULL;,也好;不错;满意;,1;1;1;
185,给老婆买的，价钱便宜，还不错,NULL;价钱;,不错;便宜;,1;1;
186,不错，速度很快，老妈很满意,速度;NULL;NULL;,很快;不错;满意;,1;1;1;
187,误导。。。。我以为是好几个车，结果就一个，还放那么多车的图片，算是被骗了,NULL;,被骗;,-1;
188,数据不准，不知道是为什么！,数据;,不准;,-1;
189,质量太差，看来便宜货就是不能用,质量;NULL;,太差;不能便宜货;,-1;1;
190,外表还好，不好装，怕把手机刮坏了，不过送的膜不错。,NULL;膜;把手;外表;,不好;不错;坏;还好;,-1;1;-1;1;
191,本来这个牌子用着一直很好，在亚马逊上也买过。结果这次寄来，首先盒子里是没有刮子。本来也没多在意，买方便面还可能没调味包呢。就拿之前的刮子用吧，结果挤了之后觉得不对劲，没有封口，里面的量也少。就跟被人用了一半又给人用一样。太坑爹了。不要买这家的。,用着;NULL;觉得;,很好;坑爹;不对劲;,1;-1;-1;
192,电机好声音小，容量大,电机;,好;,1;
193,味道还不错 很好闻 用起来的效果 还可以,NULL;NULL;味道;,很好;还可以;不错;,1;1;1;
194,电视可以，安装也方便，是直接在自己县里送过来的，价格要比在县里买便宜一些，直接可以连接WI-FI，很方便,连接;价格;电视;安装;NULL;,可以;便宜;可以;方便;方便;,1;1;1;1;1;
195,和在商场买的是一样的,,,
196,发货太慢。,发货;,慢;,-1;
197,拿到理发店，人家说你这是从哪买的，感觉像假的，味道也太刺鼻了，还不如我们小店最便宜的染发剂呢，京东上也会卖假货吗？,NULL;味道;感觉;京东;,不如便宜;刺鼻;假;假货;,-1;-1;-1;-1;
198,一般般。不错。,NULL;NULL;,不错;一般般;,1;0;
199,还是比一般的东西有效果的，就是过年物流太慢了,东西;物流;,一般;慢;,0;-1;
200,给婆婆买的，不错?,NULL;,不错;,1;
201,给妈妈买的，很喜欢！支持京东，一直好评！,NULL;NULL;,喜欢;好评;,1;1;
202,现在是2014年拜托、感觉非常不值,感觉;,不值;,-1;
203,用了几天机器一般吧，服务我算是领教了，我想问下你们上门安装的师傅，你们都是带着&ldquo;金口&rdquo;上班的吗；问点基本操作；还说什么自已去看说明书，保修期，还是说明书，我就想知道在你们贵店，说明书是不是万能的用户一切疑问都能在说明书得到解决。在买之前看过用户的评价，都说安装的师傅服务好，可我遇到的这算什么师傅，你的职业道德呢？问题都不带好好回答的；这服务真是烂透了,服务;机器;,好;一般;,1;0;
204,质量还不错，屏幕很好。,质量;屏幕;,不错;很好;,1;1;
205,音质不错哦,音质;,不错;,1;
206,有点贵  东西一般,东西;NULL;,一般;贵;,0;-1;
207,太次了，根本没法用，手机放进去根本卡不紧，一直晃荡，侧面的音量键和开机键位置也不好，侧面随便按哪都会触发开机键,NULL;侧面;NULL;手机;位置;,次;随便;没法用;不卡;不好;,-1;-1;-1;1;-1;
208,年前买的**，过了2月**,,,
209,质量不咋地,质量;,不咋地;,-1;
210,宝贝很好！,宝贝;,很好;,1;
211,挺好的，拿回来就用了。物流很快第二天就到了。,NULL;物流;,挺好;很快;,1;1;
212,一如既往的好，上午订货，下午送到。物流超好。,物流;NULL;,超好;好;,1;1;
213,没有资源没什么用，我都两个了。,,,
214,挺好吃的还行,NULL;NULL;,还行;挺好;,1;1;
215,味道不好，用之后也没有顺滑的感觉，失望了,感觉;味道;NULL;,没有顺滑;不好;失望;,-1;-1;-1;
216,挺好的，还是挺信赖京东的。不错,京东;NULL;NULL;,信赖;不错;挺好;,1;1;1;
217,不怎么样感觉装了这个壳以后更不好看，也不好用，早知道还不如买胶套算了,NULL;NULL;壳;,不好用;不怎么样;不好;,-1;-1;-1;
218,是世界上卡啊卡卡卡,NULL;,卡;,-1;
219,用了两次就没咋用，和香皂一起买了3样，那两个没效果就没用了,,,
220,很满意，又快又好，,NULL;NULL;,又快又好;满意;,1;1;
221,现在送手环。。。我买的时候什么都没送  无语。耳机都没有的说阿。唉。习惯好评,NULL;NULL;,无语;好评;,-1;1;
222,不合理，不管用，摆设，浪费钱,NULL;NULL;NULL;,不管用;费钱;不合理;,-1;-1;-1;
223,不错，买给老年人的，大小合适，物流不给力慢,物流;NULL;NULL;大小;,不给力;慢;不错;合适;,-1;-1;1;1;
224,试一下，效果不错，速度很快。,效果;速度;,不错;很快;,1;1;
225,产品一般般，充电满电机不是太强，剪发还可,产品;电机;,一般般;不是太强;,0;1;
226,是等会员那张开门店名次日哦,,,
227,产品还行，快递不敬业，东西放保安室发了信息就走人了，都不通知电话验货,快递;产品;,不敬业;还行;,-1;1;
228,就是价格稍微有点贵。,价格;,贵;,-1;
229,用着很舒服，对得起这个价格,价格;用着;,对得起;舒服;,1;1;
230,辣鸡线，,,,
231,(*?︶?*,,,
232,元旦的价格不及本月11号的抢购，有点让人心寒，多花二百大洋，哎，东东同学，你是咋想的，是想告诉我们所谓促销日都是假象吗？,,,
233,我就问一句，什么时候来装？？水管根本接不上！！客服什么态度！！竟然挂电话，客服号1575的女彪子,,,
234,感觉这个质量不是太好啊，冰箱的抽屉塑料的质量真心不敢评价啊，太薄了，和家里面的老款还是有区别的,NULL;,太薄;,0;
235,买完还有邮递，就降价。我去,,,
236,塑料气味很大很刺鼻！！！,NULL;塑料气味;,刺鼻;很大;,-1;1;
237,用了很多尼维亚男士，这款有些失望，滋润度，紧肤效果不明显，有些平庸。,紧肤效果;NULL;NULL;NULL;,不明显;平庸;很多;失望;,0;0;1;-1;
238,我不是敏感肌肤，但每次用完，总会感觉脸上有点刺痛。我平常只抹隔离，所以卸妆效果也不太清楚。买了之后就搁置了。,感觉;效果;肌肤;,刺痛;不清楚;不是敏感;,-1;-1;-1;
239,一直这种的，但这次的到六月份就到期了，买了两瓶怕是用不完了,,,
240,好跟好的意思,NULL;,好;,1;
241,??谢谢快递员帮我搬上三楼     早上下单   下午五点就到了  物流超快     刚拆包装 还没用  期待着,物流;,超快;,1;
242,是买回老家的据说还可以，最重要的是乡下也能送和上门，发货速度也挺快的，,NULL;发货速度;,还可以;挺快;,1;1;
243,用了之后头发很干燥，不适合我。,NULL;头发;,不适;很干;,-1;-1;
